Provider ID,ACE Provider Name,Region,Funding Stream,Address,Address 1,Postcode,Phone ,Email,Contact,Street Address,Latitude,Longitude
158,Lutheran Community Care - Blair Athol,Western Adelaide,Foundation Skills Non-Accredited,309 Prospect Road,BLAIR ATHOL,5084,8269 9333,stateoffice@lccsa.org.au,Leeann Kruger,"309 Prospect Road, BLAIR ATHOL, 5084",-34.86745,138.593054
160,Maitland & District Progress Association Inc,Yorke,Foundation Skills Non-Accredited,Chatt Centre 3 Robert Street,MAITLAND,5573,08 8832 2174,chattcentre@internode.on.net,Kerry Baker,"Chatt Centre 3 Robert Street, MAITLAND, 5573",-34.376301,137.672531
161,MarionLIFE Community Services Inc,Southern Adelaide,Foundation Skills Non-Accredited,887 Marion Road,MITCHELL PARK,"
5043",8277 0304,info@marionlife.org.au,Sarah Combes,"887 Marion Road, MITCHELL PARK, 5043",-35.0071382,138.5581796
118,Mid Murray Community Support Services Inc,Murraylands,Foundation Skills Accredited,71 Randell Street,Mannum,5238,8569 2129,chips@lm.net.au,Tim Clemow,"71 Randell Street, Mannum, 5238",-34.912834,139.312607
162,Mid Murray Community Support Services Inc,Murraylands,Foundation Skills Non-Accredited,71 Randell Street,Mannum,5238,8569 2129,chips@lm.net.au,Tim Clemow,"71 Randell Street, Mannum, 5238",-34.912834,139.312607
163,Midway Road Community House,Northern Adelaide,Foundation Skills Non-Accredited,48 Midway Road,ELIZABETH EAST,5112,8255 4352,midwayroad48@bigpond.com,Glennys Lehmann,"48 Midway Road, ELIZABETH EAST, 5112",-34.725388,138.680518
119,Milang Old School House Community Centre,Fleurieu,Foundation Skills Accredited,24 Daranda Terrace,Milang,5256,8537 0687,moshcc@bigpond.com,Karyn Bradford,"24 Daranda Terrace, Milang, 5256",-35.4062045,138.9740159
165,Milang Old School House Community Centre,Fleurieu,Foundation Skills Non-Accredited,24 Daranda Terrace,Milang,5256,8537 0687,moshcc@bigpond.com,Karyn Bradford,"24 Daranda Terrace, Milang, 5256",-35.4062045,138.9740159
191,Milang Old School House Community Centre,Fleurieu,Foundation Skills Accredited - Extension,24 Daranda Terrace,Milang,5256,8537 0687,moshcc@bigpond.com,Karyn Bradford,"24 Daranda Terrace, Milang, 5256",-35.4062045,138.9740159
166,Morella Community Centre,Northern Adelaide,Foundation Skills Non-Accredited,90 Kings Road,Parafield Gardens,5107,8250 7786,morellach@amnet.net.au,Alison Davies,"90 Kings Road, Parafield Gardens, 5107",-34.7746363,138.6184276
120,Morella Community Centre Inc,Northern Adelaide,Foundation Skills Accredited,90 Kings Road,Parafield Gardens,5107,8250 7786,morellach@amnet.net.au,Alison Davies,"90 Kings Road, Parafield Gardens, 5107",-34.7746363,138.6184276
167,Mount Barker Family House Inc,Adelaide Hills,Foundation Skills Non-Accredited,31 Princes Road,Mt Barker,5251,8391 2747,familyhouse@internode.on.net,Sean Hames,"31 Princes Road, Mt Barker, 5251",-35.080009,138.859905
187,Murray Mallee Community Education Network,Murraylands,Foundation Skills Non-Accredited,PO Box 236,Tailem Bend,5260,0447 824 590,mmcen@internode.on.net,Rosa Hillam,"PO Box 236, Tailem Bend, 5260",-35.3095052,139.5381824
168,Muslim Women's Association of SA Inc,Western Adelaide,Foundation Skills Non-Accredited,"Level 4, 182 Victoria Square",ADELAIDE,5000,8212 0800,admin@mwasa.org.au,Sherifa Khan,"Level 4, 182 Victoria Square, ADELAIDE, 5000",-34.927359,138.601035
169,Northern Area Community & Youth Services Inc (NACYS),Northern Adelaide,Foundation Skills Non-Accredited,Oldford Road,Davoren Park,5113,8252 2474,nacys@nacys.asn.au,Ann Brown,"Oldford Road, Davoren Park, 5113",-34.6971266,138.6646125
164,Northern Area Migrant Resource Centre of South Australia (MRCSA),Northern Adelaide,Foundation Skills Non-Accredited,59 King William Street,ADELAIDE,5000,8217 9510,nedzad@mrcsa.com.au,Nedzad Hanic,"59 King William Street, ADELAIDE, 5000",-34.92368,138.599203
170,Overseas Chinese Association,Western Adelaide,Foundation Skills Non-Accredited,110 Crittenden Road,FINDON,5023,8445 7355,grsoca2008@yahoo.com.au,Fong Ung,"110 Crittenden Road, FINDON, 5023",-34.898182,138.538352
121,Para Worklinks Inc,Northern Adelaide,Foundation Skills Accredited,112 Coventry Road,SMITHFIELD PLAINS,5114,8254 9111,jsobieray@paraworklinks.com.au,John Sobieray,"112 Coventry Road, SMITHFIELD PLAINS, 5114",-34.683334,138.680029
122,Paralowie R-12 Community Centre Inc,Northern Adelaide,Foundation Skills Accredited,Whites Road,Paralowie,5108,8182 7222,mbellew@paralowie.sa.edu.au,Mary Jo Bellow,"Whites Road, Paralowie, 5108",-34.7584572,138.6132154
171,Paralowie R-12 Community Centre Inc,Northern Adelaide,Foundation Skills Non-Accredited,Whites Road,Paralowie,5108,8182 7222,mbellew@paralowie.sa.edu.au,Mary Jo Bellow,"Whites Road, Paralowie, 5108",-34.7584572,138.6132154
172,Plaza Youth Centre,Whyalla,Foundation Skills Non-Accredited,9 Colebrook Street,WHYALLA STUART,5608,08 8645 3999,y.o.u.t.h@bigpond.com,Joanne Jones,"9 Colebrook Street, WHYALLA STUART, 5608",-33.0267397,137.5293949
173,Pooraka Farm Community Centre,Northern Adelaide,Foundation Skills Non-Accredited,126 Henderson Avenue,Pooraka,5095,8262 5544,hhewitt@salisbury.sa.gov.au,Heather Hewitt,"126 Henderson Avenue, Pooraka, 5095",-34.8241968,138.6225262
123,Pooraka Farm Communtiy Centre,Northern Adelaide,Foundation Skills Accredited,126 Henderson Avenue,Pooraka,5095,8262 5544,hhewitt@salisbury.sa.gov.au,Heather Hewitt,"126 Henderson Avenue, Pooraka, 5095",-34.8241968,138.6225262
124,Renmark Paringa Council,Riverland,Foundation Skills Accredited,61 Eighteenth Street,RENMARK,5341,08 8580 3000,council@renmarkparinga.sa.gov.au,Adrian Pipe,"61 Eighteenth Street, RENMARK, 5341",-34.1787289,140.7491654
174,Renmark Paringa Council,Riverland,Foundation Skills Non-Accredited,61 Eighteenth Street,RENMARK,5341,08 8580 3000,council@renmarkparinga.sa.gov.au,Adrian Pipe,"61 Eighteenth Street, RENMARK, 5341",-34.1787289,140.7491654
175,Reynella Neighbourhood Centre Inc,Southern Adelaide,Foundation Skills Non-Accredited,164-170 Old South Road,OLD REYNELLA,5161,8322 3591,reynella@tpg.com.au,Lucy Richardson,"164-170 Old South Road, OLD REYNELLA, 5161",-35.0900523,138.5406411
176,Robertstown War Memorial Community Centre,Mid North,Foundation Skills Non-Accredited,7 Commercial Street,ROBERTSTOWN,5381,08 8581 7209,robbie5381@hotmail.com,Sharon Tremaine,"7 Commercial Street, ROBERTSTOWN, 5381",-33.989882,139.079591
177,Seaford/Moana Neighbourhood Centre Inc,Southern Adelaide,Foundation Skills Non-Accredited,Beechwood Grove,SEAFORD,5169,8386 3319,traree@onkaparinga.sa.gov.au,Tracy Reed,"Beechwood Grove, SEAFORD, 5169",-35.1902403,138.4762396
179,SPARK Resource Centre Inc,Eastern Adelaide,Foundation Skills Non-Accredited,213 Gouger Street,ADELAIDE,5000,8212 3255,spark@sparkresourcecentre.org.au,Kath Silard OAM,"213 Gouger Street, ADELAIDE, 5000",-34.9305753,138.5913577
180,Tailem Bend Community Centre,Murraylands,Foundation Skills Non-Accredited,141 Railway Terrace,TAILEM BEND,5260,08 8572 3513,tbcc@internode.on.net,Tammy Shepherd,"141 Railway Terrace, TAILEM BEND, 5260",-35.2529153,139.4531014
181,Uniting Care Wesley Port Adelaide (Taperoo Community Centre),Western Adelaide,Foundation Skills Non-Accredited,70 Dale Street,Port Adelaide,5015,8440 2299 Taperoo,kharvey@ucwpa.org.au; mkuchel@ucwpa.org.au; cjolly@ucwpa.org.au,"Kathy Miller, Nadine Renton, Kate Erne","70 Dale Street, Port Adelaide, 5015",-34.8469249,138.5044858
126,The Hut Community Centre,Adelaide Hills,Foundation Skills Accredited,1 Euston Road,Aldgate,5154,8339 4400,ace@thehut.org.au,Jenny Kemp,"1 Euston Road, Aldgate, 5154",-35.0144478,138.7323862
182,The Hut Community Centre,Adelaide Hills,Foundation Skills Non-Accredited,1 Euston Road,Aldgate,5154,8339 4400,ace@thehut.org.au,Jenny Kemp,"1 Euston Road, Aldgate, 5154",-35.0144478,138.7323862
183,The Paddocks Centre Inc,Northern Adelaide,Foundation Skills Non-Accredited,Cnr Bridge and Kesters Roads,Para Hills West,5096,8285 8099,the paddocks@amnet.net.au,Jane Laws,"Cnr Bridge and Kesters Roads, Para Hills West, 5096",-34.8067802,138.6491871
113,Twelve25 Salisbury Youth Enterprise Centre,Northern Adelaide,Foundation Skills Accredited,12 James Street,SALISBURY,5108,8406 8222,rhenke@salisbury.sa.gov.au,Rick Henke,"12 James Street, SALISBURY, 5108",-34.761085,138.644495
128,Vietnamese Community in Australia - SA Chapter,Western Adelaide,Foundation Skills Accredited,62 Athol Street,Athol Park,5012,8447 8821,admin@sa.vnca.org.au,Lan Nguyen,"62 Athol Street, Athol Park, 5012",-34.853001,138.545118
184,Vietnamese Community in Australia / SA Chapter,Western Adelaide,Foundation Skills Non-Accredited,62 Athol Street,Athol Park,5012,8447 8821,admin@sa.vnca.org.au,Lan Nguyen,"62 Athol Street, Athol Park, 5012",-34.853001,138.545118
185,West Coast Youth and Community Support Incorporated,Eyre,Foundation Skills Non-Accredited,8 Mortlock Terrace,PORT LINCOLN,5606,08 8683 0072,wcys@wcys.com.au,Julie Davis,"8 Mortlock Terrace, PORT LINCOLN, 5606",-34.7236204,135.8589853
186,Whitelion Inc,Western Adelaide,Foundation Skills Non-Accredited,49 Goodall Avenue,Croydon Park,5008,8243 5413,tania.king@whitelion.asn.au,Tania King,"49 Goodall Avenue, Croydon Park, 5008",-34.878091,138.557971
129,Young Women's Christan Association of Adelaide (YWCA),Southern Adelaide,Foundation Skills Accredited,17 Hutt Street,Adelaide,5000,8203 9400,office@ywca.com.au,Wendy Looi-Penhall,"17 Hutt Street, Adelaide, 5000",-34.9257515,138.6116417
